id;nombre;fecha_inicio;fecha_fin;estado
1;Ergonomic Concrete Soap Zambian Kwacha;2019-12-13;2019-12-13;Bedfordshire
2;portal calculating Metal;2019-12-13;2019-12-13;discrete redundant
3;Synergistic Personal Loan Account Sleek;2019-12-14;2019-12-13;digital deposit
4;extend Unbranded Fresh Pants Tools;2019-12-13;2019-12-13;North Dakota Garden
5;Towels Specialist;2019-12-13;2019-12-13;Computers Small Fresh Gloves back-end
6;interface;2019-12-13;2019-12-13;lavender
7;Club backing up;2019-12-13;2019-12-13;Peru deposit
8;Frozen Analyst card;2019-12-14;2019-12-13;global mindshare
9;Ameliorated;2019-12-13;2019-12-13;navigating
10;Som Rustic Frozen Keyboard ROI;2019-12-13;2019-12-13;microchip
